year,exp_pct_gdp
1972,24.9526759593874
1973,15.9211300765156
1974,21.9259193304247
1975,22.5129566426495
1976,22.9299468243221
1977,21.8206543058134
1978,21.4700383079581
1979,18.1404727431003
1980,20.182421586916
1981,23.7697906883134
1982,27.7854017916476
1983,24.6392428518487
1984,24.4964883288577
1985,23.8681184610756
1986,24.1308598246503
1987,23.1448446373588
1988,22.4398061407772
1989,22.87255219339
1990,21.9130325715206
1991,23.3610469711841
1992,25.032102625511
1993,28.8880460014056
1994,30.1734587562912
1995,27.1039553484046
1996,27.8050541999224
1997,26.3155947200091
1998,26.0815853642404
1999,26.4423797587733
2000,26.5509318784844
2001,27.2702030108606
2002,27.8910991697021
2003,27.9127259961418
2004,26.5917253076624
2005,26.5571821460886
2006,26.6435810165771
2007,26.0616997001223
2008,24.9831658197862
2009,28.2002665421058
2010,28.2518723908528
2011,27.7352832980739
2012,28.8425661023934
2013,29.2703887862228
2014,29.5808927457727
2015,29.5758720947321
2016,35.2210254750392
2017,31.2481222232683
2018,31.913342812641
2019,32.0674084420152
2020,34.6908132172211
2021,31.732289978428
2022,36.2885816637948
2023,37.0207453769907